state name,agent name,prompt
trigger_agent_2,Agent 4 (Orchestrator),
ask_agent_1_for_template,Agent 2 (Analyzer),
create_evaluation_template,Agent 1 (Interpreter),
draft_guidelines_constraints,Agent 2 (Analyzer),
refine_guidelines_constraints,Agent 2 (Checker),
answer_syntax_questions,Agent 1 (Interpreter),
receive_guidelines_constraints,Agent 4 (Orchestrator),
trigger_agent_3,Agent 3 (Reasoner),
evaluate_case,Agent 3 (Reasoner),
refine_case_evaluation,Agent 3 (Reasoner),
check_case_satisfactory,Agent 3 (Reasoner),
check_max_iterations,Agent 4 (Orchestrator),
abort_phase_2,Agent 4 (Orchestrator),
answer_semantic_questions,Agent 2 (Analyzer),
all_cases_evaluated,Agent 4 (Orchestrator),
trigger_agent_4,Agent 4 (Orchestrator),
analyze_variability_across_cases,Agent 4 (Classifier),
classify_build_variability_taxonomy,Agent 4 (Classifier),
publish_variability_taxonomy,Agent 4 (Orchestrator),
end_process,Agent 4 (Orchestrator),
